rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/loss,train/policy_gradient_loss
15.0,166.9157964,3,9216,36,2932,0.3314395,0.0181216,0.123828125,-1.3764604121446609,0.2,2705.901641845703,0.0003,350,1319.299072265625,-0.017247505998238922
15.0,167.32079493999998,3,9472,37,3011,0.36507082,0.0062398408,0.03671875,-1.26746526658535,0.2,2848.9330505371095,0.0003,360,1172.0330810546875,-0.013024440500885248
15.0,165.98018444000002,3,9728,38,3092,0.3648094,0.007248928,0.068359375,-1.2404659748077393,0.2,2409.82607421875,0.0003,370,908.2594604492188,-0.010026891040615738
15.0,166.20419618,3,9984,39,3174,0.3730083,0.0063839415,0.08046875,-1.3000813573598862,0.2,1898.953678894043,0.0003,380,1387.4959716796875,-0.013916572043672203
14.99,165.77151249000002,3,10240,40,3253,0.3844837,0.015674468,0.158203125,-1.3208994388580322,0.2,1951.463430786133,0.0003,390,747.469970703125,-0.014364803140051664
14.99,165.46871528,3,10496,41,3335,0.36222827,0.015722165,0.1296875,-1.3224973291158677,0.2,1764.520736694336,0.0003,400,1161.25,-0.011137595702894031
14.99,165.40061533,3,10752,42,3416,0.38974506,0.008749697,0.009765625,-1.333445981144905,0.2,1978.8599945068358,0.0003,410,981.46044921875,-0.008434208249673248
14.99,165.25898910999996,3,11008,43,3497,0.39296287,0.009599669,0.006640625,-1.289784836769104,0.2,1972.1654739379883,0.0003,420,586.0878295898438,-0.00559927336871624
14.99,166.60347636999998,3,11264,44,3579,0.40920442,0.002703963,0.00390625,-1.2133449077606202,0.2,2198.409310913086,0.0003,430,927.59716796875,-0.0026376164751127362
14.96,166.88197624,3,11520,45,3661,0.42737722,0.0021465032,0.0,-1.187910133600235,0.2,2705.8968292236327,0.0003,440,1511.527099609375,-0.0033889159793034198
14.97,167.28023762,3,11776,46,3739,0.4208308,0.009920255,0.062890625,-1.228461077809334,0.2,2063.339291381836,0.0003,450,727.2899780273438,-0.011475783353671432
14.97,168.08903465,3,12032,47,3820,0.42821723,0.003045331,0.022265625,-1.3049166947603226,0.2,2245.5099334716797,0.0003,460,896.7166748046875,-0.004144044639542699
14.97,168.89668197,3,12288,48,3903,0.43287164,0.0044446355,0.03125,-1.279996195435524,0.2,2385.7495025634767,0.0003,470,1305.6878662109375,-0.009013838833197951
14.97,169.03338615000004,2,12544,49,4285,0.42713237,0.010100329,0.021484375,-1.3337618499994277,0.2,1975.5238342285156,0.0003,480,955.98779296875,-0.006651612697169185
